Period,IDPROV,Province,Xcoord,Ycoord,IDDISTRICT,District,Event,Casualties,Injured,Missing,Affected,Displaced,House_HD,House_MD,House_SD,Flooded
September 2018,35,JAWA TIMUR,112.59767,-7.94595,3503,TRENGGALEK,Landslide,,1,,,,,,,
September 2018,33,JAWA TENGAH,110.20062,-7.25939,3320,JEPARA,Whirlwind,,,,,,4,,11,
September 2018,15,JAMBI,102.71981,-1.69842,1502,MERANGIN,Landslide,,,7,,,,,,
September 2018,32,JAWA BARAT,107.6028,-6.91998,3201,BOGOR,Whirlwind,,,,10,,,2,2,
September 2018,15,JAMBI,102.71981,-1.69842,1501,KERINCI,Whirlwind,,,,,,,,14,
September 2018,33,JAWA TENGAH,110.20062,-7.25939,3312,WONOGIRI,Whirlwind,,,,,,1,,,
September 2018,12,SUMATERA UTARA,99.05314,2.19191,1212,DELI SERDANG,Whirlwind,,,,,,3,9,16,
September 2018,35,JAWA TIMUR,112.59767,-7.94595,3522,BOJONEGORO,Landslide,1,,,,,,,,
September 2018,13,SUMATERA BARAT,100.4671,-0.85066,1303,SOLOK,Flood,1,3,,3237,9,1,,14,559
September 2018,32,JAWA BARAT,107.6028,-6.91998,3206,TASIKMALAYA,Landslide,,,,,,2,,,
September 2018,13,SUMATERA BARAT,100.4671,-0.85066,1301,KEPULAUAN MENTAWAI,Flood,,,,,,,,,
September 2018,14,RIAU,101.80779,0.51272,1403,INDRAGIRI HILIR,Whirlwind,,,,289,,20,,48,
September 2018,32,JAWA BARAT,107.6028,-6.91998,3271,KOTA BOGOR,Landslide,,,,5,,,1,,
September 2018,11,ACEH,96.91028,4.2251,1103,ACEH SELATAN,Flood,,,,180,,,,,35
September 2018,11,ACEH,96.91028,4.2251,1112,ACEH BARAT DAYA,Flood,,,,20,,,,2,
September 2018,11,ACEH,96.91028,4.2251,1107,ACEH BARAT,Flood,,,,,,,,2,
September 2018,11,ACEH,96.91028,4.2251,1103,ACEH SELATAN,Flood,,,,180,,,,,35
September 2018,53,NUSA TENGGARA TIMUR,121.98602,-8.64997,5303,KUPANG,Whirlwind,,,,15,,3,,,
September 2018,73,SULAWESI SELATAN,119.96738,-4.7654,7310,BARRU,Whirlwind,,,,135,,,,27,
September 2018,13,SUMATERA BARAT,100.4671,-0.85066,1306,PADANG PARIAMAN,Whirlwind,,,,,,,1,,
September 2018,61,KALIMANTAN BARAT,111.12557,-0.08443,6103,LANDAK,Flood,,,,71,,,,,19
September 2018,35,JAWA TIMUR,112.59767,-7.94595,3512,SITUBONDO,Whirlwind,,,,9,,2,,1,
September 2018,35,JAWA TIMUR,112.59767,-7.94595,3512,SITUBONDO,Whirlwind,,,,3,,,,1,
